fecha;AAPL;BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);CEPU;COCORMA;EWZ;IBM;METROGAS S.A. ESCRIT.  B  1 VOTO (METR);SPY
2025-06-24;;;;79927.38;;;;
2025-06-25;;;;80000.0;;;;
2025-06-26;;;;80072.67;;;;
2025-06-30;;;;59847.23;;;;
2025-07-01;;10648.5;28200.0;60000.0;;;18500.0;
2025-07-02;;10648.5;29100.0;60051.04;;;18350.0;
2025-07-03;;10927.5;29200.0;60102.08;;;18550.0;
2025-07-04;;11098.0;28900.0;60153.08;;;19600.0;
2025-07-05;;11532.0;28500.0;60204.17;;;19800.0;
2025-07-06;;11532.0;28500.0;60204.17;;;19800.0;
2025-07-07;;11532.0;28500.0;60204.17;;;19800.0;
2025-07-08;;11067.0;28800.0;60370.68;;;18750.0;
2025-07-09;;11253.0;29800.0;60425.18;;;20350.0;
2025-07-10;;11253.0;29800.0;60425.18;;;20350.0;
2025-07-11;;11129.0;29100.0;60536.28;;;19750.0;
2025-07-12;;10896.5;27900.0;60591.8;;;19100.0;
2025-07-13;;10896.5;27900.0;60591.8;;;19100.0;
2025-07-14;;10896.5;27900.0;60591.8;;;19100.0;
2025-07-15;;10896.5;28800.0;60743.47;;;19350.0;
2025-07-16;26850.0;;29000.0;60793.31;;;;
2025-07-17;26850.0;;28700.0;60843.43;;;;
2025-07-18;27050.0;;29300.0;60893.74;;;;
2025-07-19;27350.0;;29500.0;60943.79;;;;
2025-07-20;27350.0;;29500.0;60943.79;;;;
2025-07-21;27350.0;;29500.0;60943.79;;;;
2025-07-22;27300.0;;29200.0;61094.06;;;;
2025-07-23;27100.0;;28900.0;61146.06;;;;
2025-07-24;27100.0;;30000.0;61199.67;;;;
2025-07-25;27300.0;;30400.0;61253.09;;;;
2025-07-26;27600.0;;31300.0;61309.41;;;;
2025-07-27;27600.0;;31300.0;61309.41;;;;
2025-07-28;27600.0;;31300.0;61309.41;;;;
2025-07-29;27750.0;;31700.0;41488.2;;;;
2025-07-30;27300.0;;8250.0;41524.55;;45150.0;;
2025-07-31;27500.0;;8175.0;41561.05;;45800.0;;
2025-08-01;28300.0;;8250.0;41597.51;;45950.0;;
2025-08-02;27700.0;;8250.0;41633.88;;45400.0;;
2025-08-03;27700.0;;8250.0;41633.88;;45400.0;;
2025-08-04;27700.0;;8250.0;41633.88;;45400.0;;
2025-08-05;27550.0;;8100.0;41743.51;;45700.0;;
2025-08-06;27300.0;;8225.0;41780.35;;45000.0;;
2025-08-07;27300.0;;8225.0;41820.42;;45000.0;;
2025-08-08;29300.0;;8600.0;41859.55;;44250.0;;
2025-08-09;30600.0;;8375.0;41898.25;;43100.0;;
2025-08-10;30600.0;;8375.0;41898.25;;43100.0;;
2025-08-11;30600.0;;8375.0;41898.25;;43100.0;;
2025-08-12;30100.0;;8475.0;22045.74;;41750.0;;
2025-08-13;30400.0;;8375.0;22068.18;18775.0;;;42625.0
2025-08-14;30800.0;;8150.0;22090.51;18600.0;;;42625.0
2025-08-15;30500.0;;7775.0;22114.8;18250.0;;;42275.0
2025-08-16;30500.0;;7775.0;22114.8;18250.0;;;42275.0
2025-08-17;30500.0;;7775.0;22114.8;18250.0;;;42275.0
2025-08-18;30500.0;;7775.0;22114.8;18250.0;;;42275.0
2025-08-19;30100.0;;7600.0;22211.76;18425.0;;;41925.0
2025-08-20;29950.0;;7175.0;22236.05;17850.0;;;41650.0
2025-08-21;29650.0;;7175.0;22260.31;18100.0;;;41825.0
2025-08-22;29700.0;;7325.0;22283.76;18275.0;;;41975.0
2025-08-23;30350.0;;7300.0;22307.81;19025.0;;;42975.0
2025-08-24;30350.0;;7300.0;22307.81;19025.0;;;42975.0
2025-08-25;30350.0;;7300.0;22307.81;19025.0;;;42975.0
2025-08-26;31000.0;;6975.0;22379.27;19550.0;;;43850.0
2025-08-27;30950.0;;7225.0;22404.4;19375.0;;;43725.0
2025-08-28;31250.0;;7000.0;22428.33;19675.0;;;43975.0
2025-08-29;31400.0;;7300.0;22452.48;19800.0;;;43725.0
2025-08-30;31400.0;;7225.0;22475.24;20000.0;;;43675.0
2025-08-31;31400.0;;7225.0;22475.24;20000.0;;;43675.0
2025-09-01;31400.0;;7225.0;22475.24;20000.0;;;43675.0
2025-09-02;31750.0;;7000.0;22543.56;20400.0;;;44950.0
2025-09-03;31400.0;;7050.0;22566.5;19900.0;;;43875.0
2025-09-04;32600.0;;6900.0;22589.38;19875.0;;;44100.0
2025-09-05;33000.0;;7075.0;22614.87;20150.0;;;44775.0
2025-09-06;33250.0;;6975.0;22640.43;20575.0;;;44900.0
2025-09-07;33250.0;;6975.0;22640.43;20575.0;;;44900.0
